№,district,khoroo,number,zip code,Хаяг нэгтгэсэн,office_name,Бүтээц,floor,op_date,Гудамжны нэр,Координат,Үнэлгээ
20.0,СБД,1,18/2,14240.0,,MERU tower,Төмөр бетон арагт,16.0,2019,Жамъяан гүний гудамж,"47.915747, 106.919081",10.65
21.0,СБД,1,22,14240.0,,,Төмөр бетон арагт,12.0,2017,Жамъяан гүний гудамж,"47.915732, 106.919454",
22.0,СБД,1,20,14240.0,,ICC tower,Төмөр бетон арагт,21.0,2011,Жамъяан гүний гудамж,"47.915970, 106.919872",
23.0,СБД,1,5,14240.0,,Ayud tower,Төмөр бетон арагт,16.0,2018,Олимпийн гудамж,"47.916041, 106.920159",12.0
24.0,СБД,1,13,14240.0,,,Төмөр бетон арагт,16.0,2010,Олимпийн гудамж,"47.915409, 106.919871",
25.0,СБД,1,7/1,14240.0,,Centrum,Төмөр бетон арагт,9.0,2024,Олимпийн гудамж,"47.915096, 106.919844",8.003333333333332
26.0,СБД,1,23,14240.0,,Minister Tower,Төмөр бетон арагт,23.0,2024,Олимпийн гудамж,"47.915416, 106.920575",14.418000000000001
27.0,СБД,1,19,,,TDB tower,Төмөр бетон арагт,14.0,2015,Энх тайвaны өргөн чөлөө,"47.917210, 106.922518",
28.0,СБД,1,13/3,,,Авзага,Төмөр бетон арагт,9.0,2006,Энх тайвaны өргөн чөлөө,"47.917381, 106.923363",
29.0,СБД,1,23,,,UBH center,Төмөр бетон арагт,15.0,2014,,"47.917374, 106.924021",
30.0,СБД,1,4,14210.0,,Moncon,Төмөр бетон арагт,15.0,2020,Олимпийн гудамж,"47.915439, 106.921638",
31.0,СБД,1,6,14210.0,,New horizon,Төмөр бетон арагт,5.0,2003,Олимпийн гудамж,"47.915234, 106.921479",
32.0,СБД,1,50,,,Azmon,Төмөр бетон арагт,6.0,2008,Энх тайвaны өргөн чөлөө,"47.917006, 106.929186",
33.0,СБД,1,52,14210.0,,DHL tower,Төмөр бетон арагт,9.0,2010,,"47.916539, 106.928587",
34.0,СБД,1,,14210.0,,Flamingo Tower,Төмөр бетон арагт,10.0,,Парисын гудамж,"47.916499, 106.928188",
35.0,СБД,1,51,14210.0,,DHL,Төмөр бетон арагт,5.0,2015,Парисын гудамж,"47.916216, 106.928658",
36.0,СБД,1,34,14210.0,,Ambassador Residence,Төмөр бетон арагт,5.0,2007,Парисын гудамж,"47.915837, 106.928089",
37.0,СБД,1,15А,14220.0,,Embassy one,Төмөр бетон арагт,17.0,2024,Элчингийн гудамж,"47.914553, 106.927123",
38.0,СБД,1,28,,,MPM Building,Төмөр бетон арагт,15.0,2016,Юнескогийн гудамж,"47.913128, 106.929006",7.22
39.0,СБД,1,31,14230.0,,Dalai Tower,Төмөр бетон арагт,12.0,2014,Юнескогийн гудамж,"47.912433, 106.928484",
40.0,СБД,1,42,14230.0,,IC tower,Төмөр бетон арагт,15.0,2022,Парисын гудамж,"47.911528, 106.929616",8.97
41.0,СБД,1,62,14230.0,,Union Building,Төмөр бетон арагт,16.0,2014,Нарны зам,"47.909346, 106.930227",3.9050000000000002
,СБД,1,46,,,Lux center,Төмөр бетон арагт,15.0,2013,Г.Чагдаржавын гудамж,"47.915956, 106.927166",7.01
42.0,СБД,2,10/1,14251.0,,Twin tower,Төмөр бетон арагт,15.0,2014,Сөүлийн гудамж,"47.914428, 106.910507",8.02
43.0,СБД,2,10/2,14251.0,,Twin tower,Төмөр бетон арагт,15.0,2014,Сөүлийн гудамж,"47.914372, 106.910084",8.02
44.0,СБД,2,11/1,14251.0,,Моодун цамхаг,Төмөр бетон арагт,10.0,2014,Сөүлийн гудамж,"47.914100, 106.910985",
45.0,СБД,2,21,14251.0,,Jiguur grand office,Төмөр бетон арагт,5.0,2010,Нарны зам,"47.908656, 106.908718",
46.0,СБД,2,21/1,14251.0,,Jiguur grand office,Төмөр бетон арагт,4.0,1998,Нарны зам,"47.908724, 106.909041",
47.0,СБД,2,21/2,14251.0,,Jiguur grand office,Төмөр бетон арагт,9.0,2010,Нарны зам,"47.908914, 106.909021",
48.0,СБД,3,13A,14252.0,,Altan joloo tower,Төмөр бетон арагт,22.0,2024,Сөүлийн гудамж,"47.912591, 106.906294",
49.0,СБД,3,28,14252.0,,Santo tower,Төмөр бетон арагт,14.0,2021,Усны гудамж,"47.910109, 106.907010",
50.0,СБД,3,20/1,14252.0,,Seoul plaza,Төмөр бетон арагт,11.0,2016,Сөүлийн гудамж,"47.912979, 106.903700",8.76375
51.0,СБД,3,22,14252.0,,Brauhaus,Төмөр бетон арагт,7.0,1998,Сөүлийн гудамж,"47.912954, 106.903050",
52.0,СБД,3,24,14252.0,,Brauhaus-ийн баруун талд,Төмөр бетон арагт,6.0,2007,Сөүлийн гудамж,"47.912899, 106.902341",
53.0,СБД,4,33,14250.0,,Хэрлэн плаза,Төмөр бетон арагт,11.0,2016,Сөүлийн гудамж,"47.913371, 106.899928",
54.0,СБД,5,37,14250.0,,Smart building,Төмөр бетон арагт,5.0,,Сөүлийн гудамж,"47.913359, 106.898089",
55.0,СБД,5,81,14253.0,,JS tower,Төмөр бетон арагт,10.0,2009,Нарны зам,"47.909264, 106.895661",5.25
56.0,СБД,6,6/1,14201.0,,City capital,Төмөр бетон арагт,8.0,2023,Ж.Самбуугийн гудамж,"47.922486, 106.916337",
57.0,СБД,6,6,14201.0,,,Төмөр бетон арагт,9.0,2021,Ж.Самбуугийн гудамж,"47.922531, 106.916617",
